"year_month","closed_tickets","sla_rate"
"2022-08",11474,75.2
"2022-09",23421,79.12
"2022-10",21089,80.34
"2022-11",24359,76.19
"2022-12",23137,62.06
"2023-01",20854,68.09
"2023-02",19158,70.16
"2023-03",24169,72.71
"2023-04",18815,69.49
"2023-05",24200,74.45
"2023-06",24167,73.41
"2023-07",24950,74.81
"2023-08",24747,66.65
"2023-09",21721,75.15
"2023-10",20282,70.03
"2023-11",22421,75.92
"2023-12",19480,69.85
"2024-01",22909,76.41
"2024-02",20509,72.97
"2024-03",19552,72.21
"2024-04",21052,74.33
"2024-05",24763,74.86
"2024-06",23757,74.94
"2024-07",26256,72.78
"2024-08",23026,70.19
"2024-09",20707,74.37
"2024-10",21998,77.78
"2024-11",24739,75.97
"2024-12",19696,72.09
"2025-01",21224,77.89
"2025-02",21910,77.6
"2025-03",19961,76.1
"2025-04",21900,78.18
"2025-05",24382,77.95
"2025-06",24613,75.89
"2025-07",26214,77.87
"2025-08",23028,77.33
"2025-09",16247,79.23
"2025-10",10345,78.51
"2025-11",10927,77.68
"2025-12",9405,70.82
"2026-01",10464,79.03
"2026-02",7645,90.43
